UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 19:08 ?        00:00:01 /sbin/init splash
root           2       0  0 19:08 ?        00:00:00 [kthreadd]
root           3       2  0 19:08 ?        00:00:00 [rcu_gp]
root           4       2  0 19:08 ?        00:00:00 [rcu_par_gp]
root           6       2  0 19:08 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 19:08 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 19:08 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 19:08 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 19:08 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 19:08 ?        00:00:00 [rcu_sched]
root          14       2  0 19:08 ?        00:00:00 [migration/0]
root          15       2  0 19:08 ?        00:00:00 [idle_inject/0]
root          16       2  0 19:08 ?        00:00:00 [cpuhp/0]
root          17       2  0 19:08 ?        00:00:00 [cpuhp/1]
root          18       2  0 19:08 ?        00:00:00 [idle_inject/1]
root          19       2  0 19:08 ?        00:00:00 [migration/1]
root          20       2  0 19:08 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 19:08 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 19:08 ?        00:00:00 [kdevtmpfs]
root          24       2  0 19:08 ?        00:00:00 [netns]
root          25       2  0 19:08 ?        00:00:00 [inet_frag_wq]
root          26       2  0 19:08 ?        00:00:00 [kauditd]
root          27       2  0 19:08 ?        00:00:00 [khungtaskd]
root          28       2  0 19:08 ?        00:00:00 [oom_reaper]
root          29       2  0 19:08 ?        00:00:00 [writeback]
root          30       2  0 19:08 ?        00:00:00 [kcompactd0]
root          31       2  0 19:08 ?        00:00:00 [ksmd]
root          32       2  0 19:08 ?        00:00:00 [khugepaged]
root          79       2  0 19:08 ?        00:00:00 [kintegrityd]
root          80       2  0 19:08 ?        00:00:00 [kblockd]
root          81       2  0 19:08 ?        00:00:00 [blkcg_punt_bio]
root          82       2  0 19:08 ?        00:00:00 [tpm_dev_wq]
root          83       2  0 19:08 ?        00:00:00 [ata_sff]
root          84       2  0 19:08 ?        00:00:00 [md]
root          85       2  0 19:08 ?        00:00:00 [edac-poller]
root          86       2  0 19:08 ?        00:00:00 [devfreq_wq]
root          87       2  0 19:08 ?        00:00:00 [watchdogd]
root          89       2  0 19:08 ?        00:00:00 [kworker/0:1H-kblockd]
root          91       2  0 19:08 ?        00:00:00 [kswapd0]
root          92       2  0 19:08 ?        00:00:00 [ecryptfs-kthrea]
root          94       2  0 19:08 ?        00:00:00 [kthrotld]
root          95       2  0 19:08 ?        00:00:00 [irq/24-aerdrv]
root          96       2  0 19:08 ?        00:00:00 [irq/25-aerdrv]
root          97       2  0 19:08 ?        00:00:00 [irq/26-aerdrv]
root          98       2  0 19:08 ?        00:00:00 [irq/27-aerdrv]
root          99       2  0 19:08 ?        00:00:00 [irq/28-aerdrv]
root         100       2  0 19:08 ?        00:00:00 [irq/29-aerdrv]
root         101       2  0 19:08 ?        00:00:00 [irq/30-aerdrv]
root         102       2  0 19:08 ?        00:00:00 [acpi_thermal_pm]
root         104       2  0 19:08 ?        00:00:00 [vfio-irqfd-clea]
root         105       2  0 19:08 ?        00:00:00 [mld]
root         106       2  0 19:08 ?        00:00:00 [ipv6_addrconf]
root         115       2  0 19:08 ?        00:00:00 [kstrp]
root         118       2  0 19:08 ?        00:00:00 [zswap-shrink]
root         119       2  0 19:08 ?        00:00:00 [kworker/u5:0]
root         124       2  0 19:08 ?        00:00:00 [charger_manager]
root         169       2  0 19:08 ?        00:00:00 [scsi_eh_0]
root         170       2  0 19:08 ?        00:00:00 [scsi_tmf_0]
root         171       2  0 19:08 ?        00:00:00 [scsi_eh_1]
root         172       2  0 19:08 ?        00:00:00 [scsi_tmf_1]
root         174       2  0 19:08 ?        00:00:00 [scsi_eh_2]
root         175       2  0 19:08 ?        00:00:00 [scsi_tmf_2]
root         176       2  0 19:08 ?        00:00:00 [scsi_eh_3]
root         177       2  0 19:08 ?        00:00:00 [kworker/1:3-events]
root         178       2  0 19:08 ?        00:00:00 [scsi_tmf_3]
root         179       2  0 19:08 ?        00:00:00 [scsi_eh_4]
root         180       2  0 19:08 ?        00:00:00 [scsi_tmf_4]
root         181       2  0 19:08 ?        00:00:00 [scsi_eh_5]
root         182       2  0 19:08 ?        00:00:00 [scsi_tmf_5]
root         183       2  0 19:08 ?        00:00:00 [kworker/u4:3-ext4-rsv-conversion]
root         185       2  0 19:08 ?        00:00:00 [kworker/u4:5-ext4-rsv-conversion]
root         188       2  0 19:08 ?        00:00:00 [kworker/1:1H-kblockd]
root         211       2  0 19:08 ?        00:00:00 [jbd2/vda5-8]
root         212       2  0 19:08 ?        00:00:00 [ext4-rsv-conver]
root         225       2  0 19:08 ?        00:00:00 [hwrng]
root         253       1  0 19:08 ?        00:00:00 /lib/systemd/systemd-journald
root         273       2  0 19:08 ?        00:00:00 [kworker/1:4-events]
root         283       2  0 19:08 ?        00:00:00 [loop0]
root         287       1  0 19:08 ?        00:00:00 /lib/systemd/systemd-udevd
root         288       2  0 19:08 ?        00:00:00 [loop1]
root         289       2  0 19:08 ?        00:00:00 [loop2]
